label,class,io
/a/airfield,0,2
/a/airplane_cabin,1,1
/a/airport_terminal,2,1
/a/alcove,3,1
/a/alley,4,2
/a/amphitheater,5,2
/a/amusement_arcade,6,1
/a/amusement_park,7,2
/a/apartment_building/outdoor,8,2
/a/aquarium,9,1
/a/aqueduct,10,2
/a/arcade,11,1
/a/arch,12,2
/a/archaelogical_excavation,13,1
/a/archive,14,1
/a/arena/hockey,15,1
/a/arena/performance,16,1
/a/arena/rodeo,17,1
/a/army_base,18,2
/a/art_gallery,19,1
/a/art_school,20,1
/a/art_studio,21,1
/a/artists_loft,22,1
/a/assembly_line,23,1
/a/athletic_field/outdoor,24,2
/a/atrium/public,25,1
/a/attic,26,1
/a/auditorium,27,1
/a/auto_factory,28,1
/a/auto_showroom,29,1
/b/badlands,30,2
/b/bakery/shop,31,1
/b/balcony/exterior,32,2
/b/balcony/interior,33,2
/b/ball_pit,34,1
/b/ballroom,35,1
/b/bamboo_forest,36,2
/b/bank_vault,37,1
/b/banquet_hall,38,1
/b/bar,39,1
/b/barn,40,2
/b/barndoor,41,2
/b/baseball_field,42,2
/b/basement,43,1
/b/basketball_court/indoor,44,1
/b/bathroom,45,1
/b/bazaar/indoor,46,1
/b/bazaar/outdoor,47,2
/b/beach,48,2
/b/beach_house,49,2
/b/beauty_salon,50,1
/b/bedchamber,51,1
/b/bedroom,52,1
/b/beer_garden,53,2
/b/beer_hall,54,1
/b/berth,55,1
/b/biology_laboratory,56,1
/b/boardwalk,57,2
/b/boat_deck,58,2
/b/boathouse,59,2
/b/bookstore,60,1
/b/booth/indoor,61,1
/b/botanical_garden,62,2
/b/bow_window/indoor,63,1
/b/bowling_alley,64,1
/b/boxing_ring,65,1
/b/bridge,66,2
/b/building_facade,67,2
/b/bullring,68,2
/b/burial_chamber,69,1
/b/bus_interior,70,1
/b/bus_station/indoor,71,2
/b/butchers_shop,72,1
/b/butte,73,2
/c/cabin/outdoor,74,2
/c/cafeteria,75,1
/c/campsite,76,2
/c/campus,77,2
/c/canal/natural,78,2
